state_fips,state,year,real_gdp_per_capita,real_personal_income_per_capita_2017,real_output_per_job,real_average_wages_salaries_2017,manufacturing_share,professional_business_share,healthcare_share,natural_resources_agriculture_share,manufacturing_share_imputed,natural_resources_share_imputed,period
47,Tennessee,2020,53128.034902022824,49229.33136535928,89342.83230689948,51685.16268628459,11.486701271285973,14.270547678624887,14.285773071013082,0.38180071813100763,False,False,Shock_2020_2022
47,Tennessee,2021,57656.34368244188,52201.86677491973,93446.28115516192,53018.722367789785,11.570358347439281,14.544144158479913,13.87339057928206,0.3761696665426802,False,False,Shock_2020_2022
47,Tennessee,2022,58818.134518799576,49498.06646050811,92568.81081454447,51640.578838564186,11.53505492755124,14.703692690713758,13.509666432016092,0.3762959219250087,False,False,Shock_2020_2022
47,Tennessee,2023,59873.39069924084,51032.41015812171,92589.80772111942,51731.484269876804,11.260628269076433,14.360237140111542,13.793097047134102,0.37847497449091666,False,False,Post_Shock_2023_2024
47,Tennessee,2024,60706.459029157704,51798.16493405889,94330.12356769136,52318.58458536958,11.083441793999029,13.897120892902622,14.065307537580589,0.37003507735637864,False,False,Post_Shock_2023_2024
48,Texas,2015,59651.50969367499,48365.843125176674,99553.54863738606,55621.702072003274,7.560313348093788,13.80553519632386,13.277074077127681,2.8302101275755263,False,False,Baseline_2015_2019
48,Texas,2016,58717.198588728694,46845.15101642869,97934.17721215493,55057.452824292624,7.184276609481286,13.888598539451035,13.54672972322348,2.3696099967998503,False,False,Baseline_2015_2019
48,Texas,2017,59147.95678802386,48524.0,97478.56210390691,55416.0,7.110820469617393,13.990317942817535,13.601389352899865,2.3396973166931923,False,False,Baseline_2015_2019
48,Texas,2018,61264.35980471518,50121.78680801411,99185.34871375153,55932.85284759087,7.172039701657194,14.233393305576053,13.519774014054866,2.473306336882734,False,False,Baseline_2015_2019
48,Texas,2019,62611.159270949945,51075.41557633861,100935.440039446,56869.35104456361,7.2182104373758875,14.371720816628153,13.517832546464348,2.4447186214646295,False,False,Baseline_2015_2019
48,Texas,2020,60973.54819832276,51924.77908589666,100734.45808599477,59023.29653685509,7.214074982953901,14.705593357530647,13.871937605062381,2.0700468343135703,False,False,Shock_2020_2022
48,Texas,2021,64434.90801237034,54634.34151382071,102713.4833707656,59264.99907738863,7.003210664095815,15.306470050580113,13.57920030617746,1.8952075068403345,False,False,Shock_2020_2022
48,Texas,2022,65580.84430700283,53401.995387059855,101386.41468117647,57910.652201397555,7.005514857252018,15.799020297123151,13.216441032796219,1.939955403827228,False,False,Shock_2020_2022
48,Texas,2023,69582.9783848543,54318.62160405905,105403.25013169633,57842.95265538133,6.991916948033186,15.62950599695122,13.417196283808957,1.9706640235255326,False,False,Post_Shock_2023_2024
