state_fips,state,period,real_gdp_per_capita,real_personal_income_per_capita_2017,real_output_per_job,real_average_wages_salaries_2017,manufacturing_share,professional_business_share,healthcare_share,natural_resources_agriculture_share
42,Pennsylvania,Shock_2020_2022,58495.677638990055,56499.5556451136,99345.04121007335,56783.71656171147,9.688148241413181,14.320369357500141,18.587418651062006,0.8479527341310531
44,Rhode Island,Baseline_2015_2019,54254.45736849499,50678.86885137285,92127.39385398164,53265.035705652415,8.469073325297092,13.953425723360388,17.595360776543295,0.25403211289916117
44,Rhode Island,Post_Shock_2023_2024,56780.208416233385,54953.84421106635,91575.52731796028,53712.59111985864,8.162557210726241,14.137096560055767,17.582018231677317,0.2636379123367585
44,Rhode Island,Shock_2020_2022,54768.8608180158,55759.28748223077,93857.2766745529,56418.51299585571,8.396671960262049,14.66136405209314,17.408102181961425,0.26017081063833536
45,South Carolina,Baseline_2015_2019,45488.66883711148,42395.42445979368,81696.09479702986,45291.94419869042,11.980940731989389,13.856131137929532,13.120438717404317,0.6069875715505237
45,South Carolina,Post_Shock_2023_2024,49995.46917887595,46918.58942970366,85412.98788517607,48160.943850395575,11.636300219041228,13.843067024536595,13.671482566495618,0.5409115099647199
45,South Carolina,Shock_2020_2022,47099.87384558291,46722.95759516952,83408.50127899331,48287.51838606479,11.982576018720572,14.150235778511552,13.387149016951646,0.58689237582985
46,South Dakota,Baseline_2015_2019,59485.8849458477,50238.9863073956,85735.3522553168,41943.596667858525,10.26541262498354,7.7152148180753075,16.53100566190422,1.5639103930511118
46,South Dakota,Post_Shock_2023_2024,62320.33325534706,59343.66902585044,87055.96152311636,44790.545273883756,9.919651086874882,8.389552101447443,16.803151429610182,1.8626488273181503
46,South Dakota,Shock_2020_2022,61121.84734863726,58559.75709036109,87947.22254867615,45410.36890360504,10.229837555191716,8.283081712731613,17.06851893862972,1.7305445969631588
47,Tennessee,Baseline_2015_2019,52422.93173101878,44771.887405155736,87748.8745515263,48425.86978403463,11.806680818582437,14.022795273697653,14.00153482988561,0.37896401217495457
47,Tennessee,Post_Shock_2023_2024,60289.924864199274,51415.2875460903,93459.9656444054,52025.03442762319,11.172035031537732,14.128679016507082,13.929202292357346,0.3742550259236477
47,Tennessee,Shock_2020_2022,56534.17103442142,50309.75486692903,91785.97475886863,52114.82129754619,11.53070484875883,14.506128175939518,13.889610027437078,0.37808876886623216
48,Texas,Baseline_2015_2019,60278.43682921854,48986.43930519161,99017.41534132909,55779.47175769007,7.2491321132451105,14.057913160159327,13.492559942754047,2.491508479883186
48,Texas,Post_Shock_2023_2024,70264.73609399464,54415.703981261184,106999.32697304618,58209.14710989852,6.99872648438142,15.496473280752967,13.499426079521493,1.9794076544483334
48,Texas,Shock_2020_2022,63663.10017256531,53320.37199559241,101611.45204597893,58732.98260521376,7.074266834767244,15.27036123507797,13.555859648012019,1.9684032483270444
49,Utah,Baseline_2015_2019,55346.94286408712,43401.230794948126,86652.57642213117,47821.21999949355,9.005798499639956,14.523581793050619,11.59291533166926,1.042065182538184
49,Utah,Post_Shock_2023_2024,66250.36208116793,52228.0788890924,95009.90826322675,52467.043559032216,8.934986372096322,14.593398252551737,11.986970797084428,1.0053663405085957
49,Utah,Shock_2020_2022,62309.43016130009,50879.40013934296,92830.80807590358,52675.627167625964,9.095570736777633,14.86559215131814,11.638236563754342,0.9624772019930576
50,Vermont,Baseline_2015_2019,51067.72061286417,50427.53144243078,75052.12132120028,45527.72705556314,9.72893042229891,9.501684261441172,17.645819287133147,1.2726455616804706
50,Vermont,Post_Shock_2023_2024,55553.089032386895,55297.415872537815,81204.57904008552,49546.72448517277,9.079146361073885,11.1444658219682,17.42207484965467,1.3746165737386524
50,Vermont,Shock_2020_2022,52069.464902163505,54607.4026723863,79966.86317524745,49923.33457250098,9.810083769133694,10.703039517343264,17.871874717714405,1.4158479877023205
51,Virginia,Baseline_2015_2019,60907.145799242055,54456.9448655784,99237.62263797564,58127.030859528364,6.42184992747759,19.283304382224653,12.77491557865402,0.5010776549493731
51,Virginia,Post_Shock_2023_2024,69106.09588782459,59922.09910590213,105558.52684326704,61452.6575084782,6.235326084890495,20.129218091850344,13.296435574695435,0.4523926132989944
51,Virginia,Shock_2020_2022,64677.40546597718,59093.78952585836,103973.13950112136,62317.35806996663,6.443756223582878,20.430569780543443,12.919088749453067,0.463314958780405
53,Washington,Baseline_2015_2019,71283.05753317257,57133.341943692765,119881.54344876537,62263.901134745196,9.134586019706614,12.454356692577294,14.122146411141523,3.2563336334178388
53,Washington,Post_Shock_2023_2024,87087.64039278617,66103.1821739314,140508.01499705337,72185.33335400617,7.965123478985137,15.135657401179065,14.448095920533635,2.7061024759335317
53,Washington,Shock_2020_2022,79805.937951462,64911.767227096185,134823.07344232188,71714.46641100988,8.254322478822893,13.92939321535953,14.58852783502431,2.94228622801717
54,West Virginia,Baseline_2015_2019,41423.003670433965,39184.626324182704,84597.98036204604,43248.415504802775,6.816782868593185,9.937036302217932,19.535330400807972,3.41447461060339
54,West Virginia,Post_Shock_2023_2024,46102.07767226488,42966.47324626801,89671.56260958407,44730.26249693644,6.665374712454634,10.796281922851545,20.948546559591293,3.2255187705755093
54,West Virginia,Shock_2020_2022,42702.653694233515,42922.55582838458,88213.05569426942,44836.83739950467,6.8625201101566065,10.611016815604458,20.610858246594727,2.953577974983799
55,Wisconsin,Baseline_2015_2019,55470.30816051878,48584.76597133311,87979.07150556149,48066.66512014354,16.53618469273787,11.374921456938852,14.77229335830279,1.1021244789503497
55,Wisconsin,Post_Shock_2023_2024,59009.581340659366,52583.244406547645,90984.94319760779,49969.52100572369,16.032070415950617,11.30925038746364,15.121195465055164,1.0986687214936826
55,Wisconsin,Shock_2020_2022,56593.161907190246,53086.38340838565,90718.81496892544,51218.53627615129,16.67003169756209,11.405711497226216,15.156269991236861,1.1071538682893765
56,Wyoming,Baseline_2015_2019,66418.27355815361,57212.583456926724,95297.01111495231,47967.99741414374,3.504456106591244,6.816113191118366,12.7640141650264,8.53484416348309
56,Wyoming,Post_Shock_2023_2024,67974.27922660334,67261.83179553691,88779.69488808211,49036.96691925649,3.716289745922705,7.924858904259452,13.176090331394445,6.895395117526441
56,Wyoming,Shock_2020_2022,64018.76736363594,63817.6638302063,88953.49110026947,48808.845836561006,3.6979194207150408,7.465108982377868,13.456898849141274,6.953021351776098
