state_fips,state,period,PC1,PC2,PC3,PC4
50,Vermont,Shock_2020_2022,-1.2827810376477475,0.6312918051379998,1.287958840649342,-0.5053617122021095
51,Virginia,Shock_2020_2022,2.31912012597276,-1.953222080990338,-1.628629477113657,-0.5128484756745152
53,Washington,Shock_2020_2022,3.721083421978609,1.348426091863951,-0.24708002074979268,1.3054111672822504
54,West Virginia,Shock_2020_2022,-2.3003238419708882,1.6683953506372249,1.6133024055672645,-2.114355248998217
55,Wisconsin,Shock_2020_2022,-1.125009563325599,-0.6113187585927442,1.1992483246451988,1.623205929656332
56,Wyoming,Shock_2020_2022,-0.5165139252172433,3.6829904434248313,-1.4278780760026297,0.8390215945117667
01,Alabama,Post_Shock_2023_2024,-1.9339773822094573,-1.2185897650968391,0.11410359936014357,0.628934269977561
02,Alaska,Post_Shock_2023_2024,1.5166544762238607,3.136054145170195,-0.24688684317291273,0.40786040768147774
04,Arizona,Post_Shock_2023_2024,0.36363524597684144,-0.22222768794465858,-0.6900646318059791,-0.6682108907928591
05,Arkansas,Post_Shock_2023_2024,-2.1818662053207505,-0.573502859242398,0.8102188737094443,-0.14819156057775607
06,California,Post_Shock_2023_2024,4.049330028678873,1.1227298301926179,0.19819469658537775,0.44331617613203267
08,Colorado,Post_Shock_2023_2024,2.658096722882149,-0.11443484941490777,-1.4615783243970704,0.08691698514607077
09,Connecticut,Post_Shock_2023_2024,3.5741919661659716,0.23310555219674572,1.9752592803914168,0.3181591033979056
10,Delaware,Post_Shock_2023_2024,2.3316657633698092,0.06841891162110111,0.800311421278085,-0.4736046948660301
12,Florida,Post_Shock_2023_2024,0.7056952539843575,-0.802955834002138,-1.2395446416060487,-1.132296517300548
13,Georgia,Post_Shock_2023_2024,0.31105843939053596,-1.3342618827163855,-1.0293546373634948,0.18563784982936676
15,Hawaii,Post_Shock_2023_2024,0.6529653873074339,0.23172168325374476,-1.530308340036511,-0.3903613946391886
16,Idaho,Post_Shock_2023_2024,-1.9471298367840355,0.6327267401323814,-0.7758359047576188,-0.1801733352443102
17,Illinois,Post_Shock_2023_2024,1.9110957280581555,-1.0462395181423374,-0.11722411358591503,0.5380059043305859
18,Indiana,Post_Shock_2023_2024,-1.0900381226871636,-0.9277527329378282,1.2538607033765592,1.6599023211030057
19,Iowa,Post_Shock_2023_2024,-1.211167027074828,0.3486322118819291,0.7667831483176383,1.8510280455657893
20,Kansas,Post_Shock_2023_2024,-0.8857056939327681,-0.13818060060591905,0.46450609032586054,0.7114713660653453
21,Kentucky,Post_Shock_2023_2024,-2.0136714686376678,-0.6746856500794822,0.7460516787482874,0.349806175309203
22,Louisiana,Post_Shock_2023_2024,-1.1261405055613773,0.8047838028752842,0.37146914573006345,-0.8236606730298843
23,Maine,Post_Shock_2023_2024,-0.8734349398881244,0.3802378967011683,0.9898193102798319,-0.7033706689605288
24,Maryland,Post_Shock_2023_2024,2.6501316899986604,-1.0588973167194424,-0.8295640724117769,-0.9539080158254036
25,Massachusetts,Post_Shock_2023_2024,5.0913667162748935,-0.16291384178048263,1.1959773026206866,-0.4553069608392451
26,Michigan,Post_Shock_2023_2024,-0.5880609948349237,-1.2203259139841292,0.54551740804505,0.49173654829908636
27,Minnesota,Post_Shock_2023_2024,0.9703619392964186,0.15870971275052617,1.5746481629041709,0.11815107838403947
28,Mississippi,Post_Shock_2023_2024,-3.572934205439548,-0.35144841656242176,0.665241626791105,-0.19667479609985394
29,Missouri,Post_Shock_2023_2024,-0.6645850771951989,-0.5057069142251762,0.9064107399698526,-0.5608278681752259
30,Montana,Post_Shock_2023_2024,-1.463752107501624,1.5965279915643429,-0.7670343923033813,-0.7231487889678803
31,Nebraska,Post_Shock_2023_2024,0.5735439784058698,0.6430859458957505,0.24954645007403878,1.0918672926224942
32,Nevada,Post_Shock_2023_2024,0.39487842005198376,-0.0971235941586711,-2.5515819088047604,0.37811817008047116
33,New Hampshire,Post_Shock_2023_2024,1.5989613592845684,-0.8507928103708227,0.2402433284354405,0.6172152064933341
34,New Jersey,Post_Shock_2023_2024,3.0489345919759763,-0.740265063796608,0.042532667329490736,-0.5755414062192334
35,New Mexico,Post_Shock_2023_2024,-0.6378745347025856,1.4738472072316526,-0.6065119868626433,-1.8101097195391074
36,New York,Post_Shock_2023_2024,5.230624681621531,0.809541598804537,1.8580212670005012,-0.8077391766660078
37,North Carolina,Post_Shock_2023_2024,0.15782840547713672,-1.2377083076979454,-0.4648952725701116,0.08243120784420185
38,North Dakota,Post_Shock_2023_2024,0.36183882579897575,3.346996474680211,0.1760701540795063,0.9316163074577097
39,Ohio,Post_Shock_2023_2024,-0.259093437409148,-0.9235310648020708,1.2055676347734123,0.14151027624244583
40,Oklahoma,Post_Shock_2023_2024,-1.5562555312708017,0.45372899960753765,-0.6749616795869575,-0.12814132913379567
41,Oregon,Post_Shock_2023_2024,0.15426557970248897,0.8068880750566436,0.06188768008138614,0.11838184887865466
42,Pennsylvania,Post_Shock_2023_2024,0.5194609556425518,-0.11482852490241,1.6074745622941107,-0.9243643850793941
44,Rhode Island,Post_Shock_2023_2024,0.21158435049813074,-0.767679583522048,1.0306537461396912,-1.0887900791278136
45,South Carolina,Post_Shock_2023_2024,-1.454491749437533,-1.4637344602067213,-0.30801366470761626,0.30417483331504624
46,South Dakota,Post_Shock_2023_2024,-1.014804890962227,1.597417180933884,1.1412746280875539,0.6062593480691385
47,Tennessee,Post_Shock_2023_2024,-0.18339108419434066,-1.3295774463338297,-0.08913245571985018,0.5413301622647121
